0.00059 -0.0024
0.38988 0.00561
0.70058 -0.0189
0.90417 0.00669
1.03989 0.01776
1.16492 0.05757
1.23278 0.0649
1.29704 0.03268
1.33631 -0.00678
1.39694 -0.13248
1.43618 -0.21868
1.48615 -0.26531
1.53619 -0.20409
1.5934 -0.08174
1.64716 0.22395
1.76195 1.07979
1.82299 1.61916
1.85527 1.86009
1.89822 2.00398
1.95185 2.11554
1.9911 2.04732
2.03744 1.89642
2.06943 1.63406
2.12282 1.33219
2.15833 0.99794
2.24374 0.48044
2.30064 0.06714
2.36467 -0.34615
2.42167 -0.59049
2.50369 -0.80601
2.58933 -0.92806
2.6679 -0.9279
2.76078 -0.88456
2.89299 -0.77284
3.12888 -0.48116
3.26112 -0.31551
3.37905 -0.20382
3.6434 -0.08104
3.96133 0.03827
4.19703 0.01
4.42916 -0.01108
4.71488 -0.00329
4.95422 0.09068
5.16499 0.18099
5.35424 0.11668
5.5256 0.002
5.71126 -0.0767
5.96483 -0.07976
6.20413 -0.06848
6.56845 0.00059
6.77561 0.02979
7.00062 0.03745
